#{"t_start": 1779736514.126843, "env_id": "PandaPush-v3"}
r,l,t
-3.084041,50,199.538175
-0.048028,1,199.569418
-4.941964,50,200.647299
-4.242874,50,201.78765
-0.032023,1,201.803271
-6.737906,50,202.83428
-5.125219,50,203.912147
-13.044215,50,207.723754
-5.01731,50,208.832868
-0.035352,1,208.86411
-3.880943,50,209.895121
-6.460407,50,210.95737
-5.170026,50,212.066483
-4.090903,50,213.206845
-0.034604,1,213.222466
-3.072506,50,214.37844
-6.222754,50,215.487558
-5.095369,50,216.612294
-3.468738,50,217.705783
-4.649578,50,218.768034
-5.168339,50,219.845905
-4.454331,50,220.939399
-5.523786,50,222.032894
-4.991335,50,223.110764
-5.038115,50,224.188634
-4.973511,50,225.282128
-0.037377,1,225.31337
-3.201589,50,226.422485
-5.009115,50,227.500357
-3.811019,50,228.593855
-3.903162,50,229.702967
-4.07527,50,230.780842
-4.686827,50,231.85871
-4.203802,50,232.983444
-4.808749,50,234.045699
-4.203957,50,235.154809
-3.15289,50,236.21706
-0.010645,1,236.248307
-4.563288,50,237.40428
-4.796673,50,238.482154
-6.036747,50,239.513162
-9.95099,50,240.591033
-5.17053,50,241.700147
-2.801787,50,242.746777
-0.025247,1,242.778022
-5.434709,50,243.855895
-0.04236,1,243.887133
-4.257432,50,244.980627
-5.010932,50,246.058502
-5.33708,50,247.198857
-0.049135,1,247.214478
-3.878389,50,248.245526
-0.00467,1,248.276726
-3.669433,50,249.401467
-5.855042,50,250.526202
-3.543594,50,251.588452
-0.017227,1,251.619693
-4.438102,50,252.713188
-3.104777,50,253.791057
-3.302698,50,254.884551
-5.115542,50,255.978043
-4.569939,50,257.102783
-0.032039,1,257.134022
-4.821502,50,258.196273
-4.999751,50,259.22728
-4.818268,50,260.289532
-3.583087,50,261.320538
-3.035191,50,262.398448
-0.033502,1,262.429653
-3.956204,50,263.570011
-2.741148,50,264.61664
-5.762941,50,265.663274
-0.03173,1,265.678893
-4.415398,50,266.772384
-4.179029,50,267.840999
-0.034373,1,267.856625
-6.493002,50,268.903251
-0.048833,1,268.934492
-3.827891,50,270.054325
-4.60236,50,271.132232
-4.585166,50,272.225694
-2.776182,50,273.303565
-0.044264,1,273.319206
-0.045512,1,273.33481
-4.832209,50,274.381433
-3.576632,50,275.459306
-4.637523,50,276.505939
-0.042042,1,276.52156
-4.826532,50,277.61505
-4.37898,50,278.692922
-5.01569,50,279.739554
-0.012839,1,279.770797
-4.074933,50,280.833044
-5.074882,50,281.910919
-4.613151,50,282.988791
-5.957775,50,284.097903
-6.210833,50,285.175774
-0.046885,1,285.207016
-5.294777,50,286.284889
-5.317582,50,287.409628
-0.014252,1,287.44087
-3.776003,50,288.51874
-3.107375,50,289.612233
-6.515944,50,290.643244
-5.146392,50,291.721116
-0.041098,1,291.752354
-3.928669,50,292.861469
-0.002264,1,292.877091
-4.796363,50,293.986206
-5.003414,50,295.04846
-5.501453,50,296.14195
-6.570506,50,297.219824
-5.239432,50,298.313313
-3.609755,50,299.4693
-4.73085,50,300.562789
-3.670025,50,301.6719
-3.670122,50,302.718529
-3.662955,50,303.874511
-3.603956,50,304.92114
-3.614837,50,306.030255
-4.807125,50,307.076911
-3.430166,50,308.123514
-4.4155,50,309.15452
-0.035654,1,309.170141
-4.095315,50,310.326116
