#{"t_start": 1779724689.290449, "env_id": "PandaPush-v3"}
r,l,t
-3.083935,50,197.640455
-0.048017,1,197.671702
-4.941964,50,198.687088
-4.242874,50,199.749335
-0.032023,1,199.780578
-6.737902,50,200.858459
-5.125432,50,205.123073
-3.716842,50,206.185322
-4.605466,50,207.294439
-0.03534,1,207.341301
-5.065374,50,208.46604
-6.460853,50,209.57515
-11.522296,50,210.731131
-4.090464,50,211.855872
-0.034616,1,211.887114
-3.071318,50,212.94936
-12.52162,50,214.011614
-5.095838,50,215.120731
-3.469015,50,216.21422
-9.733838,50,217.448305
-5.170824,50,218.800755
-4.453107,50,221.161171
-5.90123,50,224.132694
-4.989802,50,225.541275
-3.291017,50,227.039621
-4.97376,50,231.116322
-0.037376,1,231.151563
-3.200242,50,233.103242
-5.010512,50,235.116126
-3.811509,50,237.449705
-3.903773,50,239.25902
-4.0752,50,241.146281
-4.686643,50,242.994348
-7.760517,50,245.005805
-6.485361,50,246.839255
-4.203783,50,248.687846
-3.153434,50,250.518746
-0.010647,1,250.582786
-4.562829,50,252.553502
-7.076766,50,255.478873
-10.234548,50,257.893876
-3.341096,50,259.646809
-5.169866,50,262.713774
-3.370109,50,265.751546
-0.02525,1,265.798563
-5.436328,50,268.346369
-0.04235,1,268.41177
-4.257261,50,271.505992
-5.012228,50,273.528949
-9.699918,50,275.445956
-0.049146,1,275.491571
-3.878318,50,277.762159
-0.004662,1,277.800715
-3.670159,50,279.729107
-4.178303,50,281.842411
-4.710677,50,283.706675
-0.017226,1,283.735862
-4.764747,50,285.659605
-3.107117,50,287.553012
-3.302458,50,289.467724
-3.857394,50,291.306183
-14.069953,50,293.343249
-0.032026,1,293.372284
-4.792048,50,295.209704
-5.001837,50,296.949476
-12.65449,50,298.700229
-3.585766,50,300.493199
-3.035768,50,302.330229
-0.033506,1,302.370352
-3.9554,50,304.108784
-2.742319,50,305.979076
-5.540875,50,307.811629
-0.03172,1,307.844971
-4.416578,50,309.657588
-2.680006,33,310.837516
-0.034375,1,310.868784
-8.937646,50,313.108175
-0.048832,1,313.153779
-3.826748,50,314.989532
-4.601192,50,316.887589
-4.583494,50,318.737219
-2.77587,50,320.516564
-0.044274,1,320.551438
-0.045511,1,320.587236
-4.832165,50,322.350398
-3.576968,50,324.218343
-5.138443,50,326.046305
-0.04204,1,326.08176
-4.826118,50,327.895605
-4.378684,50,329.818133
-12.158097,50,331.597712
-0.012837,1,331.629848
-4.074989,50,333.407549
-5.074012,50,335.213731
-4.594959,50,337.023992
-5.956656,50,338.787508
-6.9258,50,341.040263
-0.046885,1,341.09343
-3.515403,50,342.844417
-6.004705,50,344.691136
-0.014247,1,344.727405
-3.778577,50,346.483644
-1.912137,31,347.688432
-3.012621,50,349.555598
-5.197527,50,351.496716
-0.041106,1,351.540078
-3.10401,50,353.40308
-0.002267,1,353.436093
-3.319858,50,355.220491
-5.658882,50,357.219366
-5.501835,50,359.010727
-3.996954,50,360.776111
-5.238611,50,363.064816
-3.609006,50,364.779427
-4.733692,50,366.478276
-3.670469,50,368.231765
-1.336335,19,368.922266
-3.663154,50,370.680345
-3.605057,50,372.424951
-5.326049,50,374.256659
-4.860661,50,376.244426
-3.483766,50,378.191763
-8.814005,50,380.01038
-0.035651,1,380.058126
-4.587978,50,381.886109
-3.951542,50,383.83716
-3.681293,50,385.769466
-3.461454,50,387.66311
-2.690528,37,388.997334
-3.285595,50,390.816008
-3.333067,50,392.627317
-2.786049,50,394.366596
-3.289756,50,396.082211
-4.961212,50,397.911869
-5.246257,50,399.725724
-6.342021,50,401.54323
-5.485149,50,403.72625
-5.928805,50,405.625553
-5.168158,50,407.410264
-0.020407,1,407.444159
-3.067107,50,409.366802
-0.027653,1,409.408813
-6.856845,50,411.277273
-4.320551,50,413.154997
-4.023171,50,414.975255
-4.539339,50,416.767366
-4.92485,50,418.568569
-2.93725,50,420.421776
-5.048635,50,422.269894
-5.389163,50,424.082386
-3.183714,50,425.866677
-2.657615,50,427.670476
-6.325638,50,429.482565
-4.510664,50,431.264418
-13.958501,50,433.163889
-4.066846,50,434.926825
-3.230895,50,436.739149
-0.045996,1,436.789582
-0.037107,1,436.824968
-14.774999,50,438.62592
-17.829976,50,440.480199
-0.038115,1,440.535343
-0.033822,1,440.585124
-5.694407,50,442.353594
-0.048306,1,442.407873
-2.834648,50,444.270266
-3.782456,50,446.052693
-4.301491,50,447.763257
-4.802422,50,449.53617
-3.04171,50,451.39728
-4.646725,50,453.182342
-0.032326,1,453.216413
-4.824754,50,454.960057
-6.36969,50,456.617822
-4.680324,50,459.04514
-5.123984,50,460.827533
-3.868085,50,462.662446
-3.301497,50,464.428684
-3.454761,50,466.162685
